name,lat,lon,bench-closest,bench-near,restaurant-closest,restaurant-near,bicycle_parking-closest,bicycle_parking-near,fast_food-closest,fast_food-near,waste_basket-closest,waste_basket-near,cafe-closest,cafe-near,post_box-closest,post_box-near,toilets-closest,toilets-near,bank-closest,bank-near,drinking_water-closest,drinking_water-near,pharmacy-closest,pharmacy-near,parking-closest,parking-near,parking_entrance-closest,parking_entrance-near,dentist-closest,dentist-near,fuel-closest,fuel-near,bicycle_rental-closest,bicycle_rental-near,pub-closest,pub-near,post_office-closest,post_office-near,bar-closest,bar-near,recycling-closest,recycling-near,vending_machine-closest,vending_machine-near,car_sharing-closest,car_sharing-near,clinic-closest,clinic-near,place_of_worship-closest,place_of_worship-near,atm-closest,atm-near,waste_disposal-closest,waste_disposal-near,ice_cream-closest,ice_cream-near,library-closest,library-near,charging_station-closest,charging_station-near,fountain-closest,fountain-near,theatre-closest,theatre-near,car_rental-closest,car_rental-near
Quality Hotel Airport (South),49.1699891,-123.1443181,0.08578352759277977,24.0,0.04160439477681086,15.0,0.6348435559613335,0.0,0.4786148955074254,1.0,1.7887245174626678,0.0,0.49864683024861434,1.0,0.1585895422654874,5.0,0.5446384737003581,0.0,0.42789180818802747,2.0,0.06979011183106644,1.0,0.27756489735141876,2.0,0.3183729376292215,6.0,0.4222472023334026,1.0,0.8554943941210142,0.0,1.4431843007151155,0.0,2.90775699526865,0.0,0.05596530530386961,1.0,0.44874262489133676,1.0,0.7309416233181842,0.0,2.0944800395747944,0.0,2.9470283178965846,0.0,0.35862791475075856,1.0,0.8112380937532077,0.0,3.0745242156247423,0.0,0.5653665178774889,0.0,10.40576312729361,0.0,0.818960771441435,0.0,0.6932908464611096,0.0,1.055730930698596,0.0,0.7080204932567876,0.0,3.7820532583699893,0.0,3.0528958785214613,0.0
JW Marriott parq Vancouver,49.2753903,-123.1127661,0.25393875288339646,41.0,0.025168667714399837,19.0,0.22719002823455686,15.0,0.4035428003506924,6.0,0.3264580400381811,9.0,0.21772499776804732,9.0,0.24975502665102964,5.0,0.6618552597580197,0.0,0.5173944338338096,0.0,0.42698683529422526,1.0,0.37323578559952203,1.0,0.29243836055527694,2.0,0.3260929275832141,4.0,0.4778113105257829,1.0,1.8477546147798327,0.0,0.15371823510955698,8.0,0.25509574600360635,2.0,0.37262827491480444,1.0,0.47868181592303743,1.0,0.6562783225080162,0.0,0.6603642712131936,0.0,0.2729577408694096,8.0,0.5797531240312036,0.0,0.5745512690601092,0.0,0.2349776103510638,1.0,0.6764793254137789,0.0,0.46106109587599353,1.0,1.119669395016957,0.0,0.4677274607497473,1.0,0.5220094445868304,0.0,0.31637021027929174,1.0,0.7124071868690078,0.0
"the DOUGLAS, Autograph Collection",49.2760575,-123.1138775,0.14946775418468933,36.0,0.08709289806403113,34.0,0.11923949005967047,29.0,0.3000359741185535,11.0,0.21795190765716568,11.0,0.1086478059319625,14.0,0.16061160750877365,8.0,0.5558030232348131,0.0,0.42142416927269993,3.0,0.5344838290543122,0.0,0.2700152648218889,2.0,0.20011923895613568,2.0,0.30996285339785357,4.0,0.38661671790407903,3.0,1.7669382758716603,0.0,0.049613943550834816,10.0,0.1455746758030167,3.0,0.2689851075888252,1.0,0.4081998769486017,2.0,0.5492280885859264,0.0,0.5519734513468251,0.0,0.18203780807259018,12.0,0.48885999188735574,1.0,0.47230912692695903,1.0,0.13980515853516592,1.0,0.6781363907119223,0.0,0.4322654517638051,1.0,1.1495321541939174,0.0,0.36904738831124256,1.0,0.4474775387353212,1.0,0.24113156601735244,3.0,0.6172344784783421,0.0
Moda Hotel,49.2794963,-123.1204442,0.023826940125192788,63.0,0.014217988798106401,97.0,0.0231867079438507,134.0,0.08134530442942843,55.0,0.02700437477389514,63.0,0.08233803898179592,47.0,0.03452790200624256,28.0,0.1967309944936213,6.0,0.24127761995518612,9.0,0.22529870322218276,4.0,0.07809683494947857,6.0,0.4047718116908484,4.0,0.06048368311093651,10.0,0.11969665672861507,7.0,1.3552351822480295,0.0,0.19391096423421092,14.0,0.09426242115088794,14.0,0.3320260955882884,3.0,0.0017682888941746233,11.0,0.18507276124211755,2.0,0.10439601576067237,5.0,0.1206627506134312,17.0,0.1896678010377222,3.0,0.28812567372278086,2.0,0.10158149267256783,6.0,0.9837742974310064,0.0,0.2944574667843658,1.0,1.4926482832346335,0.0,0.3193218253062821,2.0,0.41456534497271996,3.0,0.04938136824230139,3.0,0.37946731074819967,3.0
Westin Bayshore,49.2921331,-123.1291351,0.06268156625402672,21.0,0.07590877252781832,36.0,0.40578382424024784,2.0,0.38110492401466856,5.0,0.12598576022551503,5.0,0.2024140134387424,6.0,0.07753467696492587,12.0,0.599225599363695,0.0,0.4451706304690038,3.0,0.5651192309218394,0.0,0.567678484889231,0.0,0.7352221748101504,0.0,0.5034789003086106,0.0,1.1679957106744143,0.0,0.8347734091410851,0.0,0.30509023604830215,4.0,0.28042623329143296,1.0,0.3890803645337931,1.0,0.5201345514389043,0.0,1.5536790113614305,0.0,1.5154326263716988,0.0,0.30749358148582834,4.0,0.5018542513699288,0.0,0.40688945039158186,1.0,0.385320698560118,1.0,2.092539456915703,0.0,0.6099980619224116,0.0,0.5680818554977525,0.0,0.3176700352523204,1.0,0.6168990167222297,0.0,0.12854297177631557,1.0,1.0482933480004457,0.0
Hotel at the Waldorf,49.2814894,-123.0743321,0.6734332120938695,0.0,0.11557228617298836,2.0,0.15739194094442283,1.0,0.799739231722208,0.0,0.011527593559526178,1.0,0.048481944699038264,2.0,0.3738370222340661,2.0,0.3489601771786263,2.0,1.2720542436808582,0.0,0.34888885402861,1.0,1.0218496245125508,0.0,1.578998818970725,0.0,1.2663876272091565,0.0,1.719034041041128,0.0,0.6096818882007328,0.0,0.15278640375128674,4.0,0.1551043234252292,2.0,1.1432350080018059,0.0,0.15460349036524015,5.0,0.5164498483109163,0.0,2.057741708507713,0.0,1.554579414726663,0.0,2.133077199725786,0.0,1.290934792079262,0.0,2.1717316616863025,0.0,1.4766456752951835,0.0,0.2161286919628971,1.0,0.7716854717132613,0.0,0.6480826475534242,0.0,2.836258071401385,0.0,0.42122868470707947,1.0,1.9442220410869813,0.0
Hilton,49.1717306,-123.1406352,0.36310562466048424,15.0,0.09524116471666261,28.0,0.738149784290093,0.0,0.2854608703372971,1.0,1.4988288211152154,0.0,0.33459458586504603,6.0,0.22485037580411532,4.0,0.4964797427302858,1.0,0.25426700761930104,12.0,0.3971331534968775,1.0,0.27028158815229447,2.0,0.23753420093126723,6.0,0.6195937845636753,0.0,0.7403845100043316,0.0,1.1412377047278264,0.0,2.642644014278359,0.0,0.3408991521426409,1.0,0.21724918616298527,3.0,0.411787533682082,1.0,1.9360218954419108,0.0,2.780529983000563,0.0,0.6557890112264866,0.0,0.7213209687805211,0.0,2.8141468337828353,0.0,0.30087211785421714,1.0,10.077000904926011,0.0,0.5171417422364011,0.0,0.8602137891890154,0.0,1.105992511080244,0.0,0.5702896329557305,0.0,3.563211557589724,0.0,2.756333369855169,0.0
Horseshoe Bay Motel,49.3733586,-123.2750233,0.034526269992006635,2.0,0.0608606112310651,7.0,5.743566779008384,0.0,0.04891095506190278,3.0,0.0825222585419322,1.0,0.08068910335526251,4.0,0.07472143558136123,2.0,0.2045172904650061,7.0,2.983697775343008,0.0,0.16855814197909508,1.0,0.09777074845681934,1.0,2.960697021987719,0.0,0.17618852814317387,1.0,10.873155340772609,0.0,0.0989528162946457,1.0,11.692169035164113,0.0,0.14779532449095142,1.0,0.07689934415313993,1.0,13.4496327056872,0.0,5.593121643949078,0.0,0.3117784013394343,5.0,12.18926437445454,0.0,13.172281115958775,0.0,0.47868671200300245,1.0,0.06962476793203577,1.0,5.955872787414346,0.0,0.16531044587904065,1.0,12.605630058601262,0.0,13.288620457825127,0.0,11.665064007267826,0.0,9.213313074744468,0.0,14.914165714868926,0.0
Sandman Signature Hotel,49.1624776,-122.6656852,0.4651558836835857,1.0,0.05545269643713951,10.0,0.4422113633259146,1.0,0.22993291604908034,6.0,0.4685047812644919,1.0,0.2334726894128228,3.0,1.8918362772611796,0.0,1.2111900951633345,0.0,0.3949354210757966,3.0,2.709430738057747,0.0,0.4561347441069512,2.0,4.943154645121435,0.0,6.192616633802455,0.0,1.0824367442647114,0.0,0.40809769956093356,1.0,30.892556728516595,0.0,0.36797572447921584,1.0,0.3218214698735539,1.0,0.0988726344839965,1.0,5.594932716014444,0.0,4.244247087622833,0.0,15.88457459915317,0.0,0.42781744841626385,2.0,0.8117730255299782,0.0,1.3218677417222648,0.0,2.0697290717731422,0.0,4.9904663717625635,0.0,1.7558577520653074,0.0,5.299966554270882,0.0,5.171093600859564,0.0,5.71655827496773,0.0,1.584618981373774,0.0
Civic Hotel,49.1904199,-122.8483285,0.019587280433458542,24.0,0.017973711794649655,20.0,0.46611312318161885,1.0,0.08631170508614162,23.0,0.026204393296177478,12.0,0.04015294810077675,8.0,0.2137778602948842,7.0,0.4278837625466383,3.0,0.20376737961728542,8.0,0.4242824624461997,1.0,0.3161728094823577,1.0,0.33774739236753926,6.0,0.06407712982672276,5.0,0.1605999475642533,3.0,1.1561033680502382,0.0,17.42583483704053,0.0,0.30364863380364016,1.0,0.49396028328482633,1.0,0.48283058136934665,1.0,2.650409181818337,0.0,1.3473028069060493,0.0,4.985991430515571,0.0,0.2590976708081548,1.0,0.9202067191467195,0.0,0.353685415913742,2.0,3.16184090856612,0.0,3.542154792765831,0.0,0.2847922460556158,1.0,0.4727176199816147,1.0,0.055195063373573786,1.0,3.1503325656161048,0.0,0.259516841717554,1.0
