name,lat,lon,bench-closest,bench-near,restaurant-closest,restaurant-near,bicycle_parking-closest,bicycle_parking-near,fast_food-closest,fast_food-near,waste_basket-closest,waste_basket-near,cafe-closest,cafe-near,post_box-closest,post_box-near,toilets-closest,toilets-near,bank-closest,bank-near,drinking_water-closest,drinking_water-near,pharmacy-closest,pharmacy-near,parking-closest,parking-near,parking_entrance-closest,parking_entrance-near,dentist-closest,dentist-near,fuel-closest,fuel-near,bicycle_rental-closest,bicycle_rental-near,pub-closest,pub-near,post_office-closest,post_office-near,bar-closest,bar-near,recycling-closest,recycling-near,vending_machine-closest,vending_machine-near,car_sharing-closest,car_sharing-near,clinic-closest,clinic-near,place_of_worship-closest,place_of_worship-near,atm-closest,atm-near,waste_disposal-closest,waste_disposal-near,ice_cream-closest,ice_cream-near,library-closest,library-near,charging_station-closest,charging_station-near,fountain-closest,fountain-near,theatre-closest,theatre-near,car_rental-closest,car_rental-near,score
Moda Hotel,49.2794963,-123.12044420000001,0.023826940125192996,63,0.014217988798106,97,0.023186707943851,134,0.081345304429429,55,0.027004374773895,63,0.082338038981796,47,0.034527902006243,28,0.196730994493621,6,0.24127761995518598,9,0.22529870322218304,4,0.078096834949479,6,0.40477181169084797,4,0.060483683110937,10,0.119696656728615,7,1.35523518224803,0,0.19391096423421103,14,0.094262421150888,14,0.332026095588288,3,0.0017682888941750001,11,0.185072761242118,2,0.10439601576067199,5,0.120662750613431,17,0.18966780103772196,3,0.28812567372278103,2,0.101581492672568,6,0.983774297431006,0,0.294457466784366,1,1.49264828323463,0,0.31932182530628195,2,0.41456534497272,3,0.049381368242300994,3,0.37946731074820006,3,3.8
Westin Bayshore,49.2921331,-123.1291351,0.062681566254027,21,0.075908772527818,36,0.405783824240248,2,0.381104924014669,5,0.125985760225515,5,0.20241401343874202,6,0.077534676964926,12,0.5992255993636949,0,0.445170630469004,3,0.5651192309218389,0,0.567678484889231,0,0.73522217481015,0,0.503478900308611,0,1.1679957106744099,0,0.834773409141085,0,0.30509023604830204,4,0.28042623329143296,1,0.38908036453379297,1,0.520134551438904,0,1.55367901136143,0,1.5154326263717,0,0.307493581485828,4,0.5018542513699289,0,0.40688945039158203,1,0.385320698560118,1,2.0925394569157,0,0.609998061922412,0,0.5680818554977529,0,0.31767003525232,1,0.61689901672223,0,0.128542971776316,1,1.04829334800045,0,4.4
Hotel at the Waldorf,49.2814894,-123.0743321,0.6734332120938701,0,0.11557228617298801,2,0.157391940944423,1,0.799739231722208,0,0.011527593559526,1,0.048481944699038,2,0.37383702223406606,2,0.34896017717862604,2,1.2720542436808602,0,0.34888885402861,1,1.0218496245125501,0,1.5789988189707198,0,1.2663876272091599,0,1.7190340410411298,0,0.6096818882007329,0,0.152786403751287,4,0.155104323425229,2,1.14323500800181,0,0.15460349036524,5,0.516449848310916,0,2.0577417085077103,0,1.55457941472666,0,2.1330771997257902,0,1.29093479207926,0,2.1717316616863,0,1.4766456752951798,0,0.216128691962897,1,0.771685471713261,0,0.6480826475534239,0,2.8362580714013905,0,0.421228684707079,1,1.9442220410869802,0,3.6
Hilton Vancouver Airport,49.171730600000004,-123.14063519999999,0.36310562466048407,15,0.09524116471666301,28,0.738149784290093,0,0.285460870337297,1,1.4988288211152199,0,0.33459458586504603,6,0.224850375804115,4,0.49647974273028606,1,0.25426700761930104,12,0.39713315349687706,1,0.270281588152294,2,0.23753420093126698,6,0.6195937845636751,0,0.740384510004332,0,1.1412377047278301,0,2.64264401427836,0,0.34089915214264105,1,0.21724918616298497,3,0.411787533682082,1,1.93602189544191,0,2.7805299830005596,0,0.6557890112264871,0,0.721320968780521,0,2.8141468337828397,0,0.30087211785421697,1,10.077000904925999,0,0.517141742236401,0,0.860213789189015,0,1.10599251108024,0,0.570289632955731,0,3.5632115575897205,0,2.7563333698551697,0,4.2
Horseshoe Bay Motel,49.3733586,-123.2750233,0.034526269992007,2,0.060860611231065,7,5.74356677900838,0,0.048910955061903,3,0.082522258541932,1,0.080689103355263,4,0.07472143558136099,2,0.204517290465006,7,2.9836977753430096,0,0.168558141979095,1,0.097770748456819,1,2.9606970219877202,0,0.17618852814317398,1,10.8731553407726,0,0.098952816294646,1,11.692169035164099,0,0.14779532449095098,1,0.07689934415314,1,13.449632705687199,0,5.59312164394908,0,0.31177840133943396,5,12.1892643744545,0,13.1722811159588,0,0.478686712003003,1,0.069624767932036,1,5.955872787414349,0,0.165310445879041,1,12.605630058601301,0,13.2886204578251,0,11.665064007267802,0,9.21331307474447,0,14.9141657148689,0,3.8
Sandman Signature Hotel,49.1624776,-122.6656852,0.46515588368358596,1,0.055452696437139994,10,0.442211363325915,1,0.22993291604907998,6,0.46850478126449197,1,0.23347268941282298,3,1.89183627726118,0,1.21119009516333,0,0.3949354210757971,3,2.70943073805775,0,0.456134744106951,2,4.9431546451214405,0,6.19261663380246,0,1.08243674426471,0,0.40809769956093395,1,30.892556728516603,0,0.36797572447921606,1,0.321821469873554,1,0.098872634483997,1,5.59493271601444,0,4.24424708762283,0,15.884574599153199,0,0.42781744841626396,2,0.811773025529978,0,1.32186774172226,0,2.06972907177314,0,4.990466371762559,0,1.7558577520653103,0,5.299966554270879,0,5.171093600859559,0,5.71655827496773,0,1.5846189813737699,0,3.8
Civic Hotel,49.190419899999995,-122.8483285,0.019587280433459,24,0.017973711794650002,20,0.46611312318161896,1,0.086311705086142,23,0.026204393296177998,12,0.040152948100777,8,0.21377786029488396,7,0.42788376254663796,3,0.20376737961728503,8,0.42428246244620005,1,0.31617280948235804,1,0.33774739236753903,6,0.064077129826723,5,0.16059994756425303,3,1.15610336805024,0,17.4258348370405,0,0.30364863380364,1,0.493960283284826,1,0.48283058136934703,1,2.6504091818183397,0,1.3473028069060502,0,4.98599143051557,0,0.259097670808155,1,0.92020671914672,0,0.35368541591374203,2,3.1618409085661203,0,3.5421547927658303,0,0.28479224605561604,1,0.47271761998161504,1,0.05519506337357401,1,3.1503325656161,0,0.259516841717554,1,4.2
Delta Burnaby Hotel and Conference Centre,49.2565552,-123.00691670000002,0.824544419416509,0,0.049429722591752996,5,0.49163878931938,2,0.413736373277017,1,0.609401307509225,0,0.48859035849278293,1,0.10967316174526401,1,1.6474688660748602,0,1.1373331715371,0,0.858188852835163,0,0.916496350227488,0,0.915588779533976,0,0.28944417492824,4,0.9084853071979789,0,0.9406155129391809,0,4.26608896145772,0,0.6811806974822711,0,0.9811140254341709,0,2.15386275658216,0,1.4978718101583501,0,0.900027229011741,0,3.2660417151196004,0,0.723345776184885,0,1.6844908083931003,0,2.99529659335939,0,1.8637164998666,0,2.7596400986865097,0,0.914901759777363,0,0.583958409671957,0,3.04094938145338,0,4.75572500645526,0,3.03029179393741,0,4.3
Coast Hotel and Convention Centre,49.1059383,-122.65579869999999,1.11871083157042,0,0.025538299452037998,24,0.41172223516199796,1,0.053683284976877,7,1.91130836560796,0,0.13628223434237802,4,0.293333243577195,2,1.52840683143599,0,0.492800920556298,1,1.9098987928829099,0,0.206124987201875,6,0.538886307443589,0,0.106425925034579,2,0.35829376943571595,3,1.02494847614534,0,34.1906873978207,0,0.098104120101883,2,0.436721392445982,1,0.0607040463838,2,0.39066691283218397,1,1.6429305269168701,0,21.5394990642789,0,0.195192862561719,3,0.449782220912361,1,0.41767004653151707,1,8.37107579807844,0,1.69057116693494,0,0.253347555953602,1,1.7626885318897,0,1.76862323334327,0,8.471032822221169,0,0.6950998997599169,0,4.1
Econo Lodge,49.1215842,-122.8448828,0.926238565630756,0,0.5443252239529579,0,5.766678101390751,0,0.158029421027738,2,1.55302062144324,0,1.2597085263713002,0,0.9159595193415091,0,2.08378288121747,0,1.2999822683230702,0,4.3499142031353095,0,1.33093937739165,0,2.20326889747247,0,3.40630162630732,0,3.1259948653424,0,0.337497815725555,1,21.9896142457544,0,1.40836825874573,0,1.32478580804256,0,6.79813685288001,0,1.67603725634663,0,3.73982912826273,0,10.366185728904801,0,3.24473719779985,0,4.6991065560923895,0,7.17877386210546,0,3.5838214980728598,0,3.83803142526769,0,1.03609016580412,0,7.08818456992983,0,6.5614597341259895,0,1.7497778803634099,0,7.73626585296401,0,3.6
